epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-27 12:04:31.291,0.536611,0.7387566137566137,0.7436771810173345,0.7681244496624597,2617-902-678-1851,1.1272762,0.39285714285714285,0.0,0,0-136-0-88,0
2,2022-10-27 12:10:45.529,0.49388143,0.7986111111111112,0.7982381358340438,0.8218256290228204,2809-710-508-2021,0.9904898,0.7589285714285714,0.8970588235294118,0.8187919463087249,122-14-40-48,41
3,2022-10-27 12:16:09.111,0.4541322,0.8468915343915344,0.8263711281614095,0.8626520320379709,2908-611-315-2214,0.79867244,0.8035714285714286,0.6764705882352942,0.8070175438596492,92-44-0-88,23
4,2022-10-27 12:21:42.401,0.40989015,0.8930224867724867,0.8817845978971298,0.9055887932292427,3103-416-231-2298,0.7812711,0.8571428571428571,0.8088235294117647,0.873015873015873,110-26-6-82,35
5,2022-10-27 12:26:50.321,0.40722987,0.8343253968253969,0.814151747655584,0.8511586452762924,2865-654-348-2181,0.8037235,0.65625,0.4338235294117647,0.6051282051282051,59-77-0-88,5
6,2022-10-27 12:28:30.976,0.39189744,0.8715277777777778,0.855924978687127,0.8857520952801059,3012-507-270-2259,0.84391195,0.5491071428571429,0.25735294117647056,0.4093567251461988,35-101-0-88,3
7,2022-10-27 12:30:11.754,0.3712394,0.9006283068783069,0.8979823813583404,0.913162837740211,3160-359-242-2287,0.82207674,0.7276785714285714,0.5514705882352942,0.7109004739336493,75-61-0-88,22
8,2022-10-27 12:32:07.713,0.34432757,0.9409722222222222,0.9454390451832907,0.9490800171159607,3327-192-165-2364,1.2142135,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
9,2022-10-27 12:38:07.151,0.31564048,0.9760251322751323,0.9820971867007673,0.9794530253648859,3456-63-82-2447,1.0808231,1.0,1.0,1.0,136-0-0-88,50
10,2022-10-27 12:39:54.044,0.3078948,0.902281746031746,0.8894572321682296,0.9137352211356007,3130-389-202-2327,2.193216,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
11,2022-10-27 12:41:27.021,0.2978959,0.9269179894179894,0.9329354930377949,0.9369292237442923,3283-236-206-2323,2.3565857,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
12,2022-10-27 12:43:00.908,0.28406432,0.9568452380952381,0.9630576868428531,0.9629208694416821,3389-130-131-2398,2.2944393,0.6428571428571429,0.4117647058823529,0.5833333333333334,56-80-0-88,20
13,2022-10-27 12:44:34.738,0.2702648,0.9674272486772487,0.9718670076726342,0.9720051158163991,3420-99-98-2431,2.3452098,0.6116071428571429,1.0,0.7576601671309192,136-0-87-1,50
14,2022-10-27 12:46:08.161,0.2561987,0.9818121693121693,0.9838022165387894,0.9843616718794427,3462-57-53-2476,2.2394774,0.7410714285714286,0.5735294117647058,0.7289719626168224,78-58-0-88,26
15,2022-10-27 12:47:41.627,0.24235526,0.9907407407407407,0.9926115373685707,0.9920477137176938,3493-26-30-2499,2.1557198,0.7633928571428571,1.0,0.8369230769230769,136-0-53-35,50
16,2022-10-27 12:49:14.966,0.22956416,0.9942129629629629,0.9948849104859335,0.9950262896120506,3501-18-17-2512,2.0212543,1.0,1.0,1.0,136-0-0-88,48
17,2022-10-27 12:50:48.364,0.21785727,0.9971891534391535,0.9971582836032964,0.9975835110163468,3509-10-7-2522,1.9025066,1.0,1.0,1.0,136-0-0-88,47
18,2022-10-27 12:52:21.805,0.20706937,0.9991732804232805,0.9991474850809889,0.9992894699445786,3516-3-2-2527,1.7968855,1.0,1.0,1.0,136-0-0-88,49
19,2022-10-27 12:53:55.059,0.19729476,0.9995039682539683,0.9994316567206593,0.9995736819667472,3517-2-1-2528,1.7023839,1.0,1.0,1.0,136-0-0-88,48
20,2022-10-27 12:55:28.331,0.19013207,0.9875992063492064,0.9917590224495595,0.9893692416725726,3490-29-46-2483,1.8986506,0.6294642857142857,1.0,0.7661971830985915,136-0-83-5,50
21,2022-10-27 12:57:01.651,0.18972033,0.9353505291005291,0.9451548735436204,0.9444838847082209,3326-193-198-2331,1.8668336,0.6875,0.4852941176470588,0.6534653465346535,66-70-0-88,20
22,2022-10-27 12:58:34.853,0.18529336,0.9700727513227513,0.9766979255470304,0.9743444365698086,3437-82-99-2430,2.02816,0.6160714285714286,1.0,0.7597765363128491,136-0-86-2,50
23,2022-10-27 13:00:08.187,0.18000914,0.9861111111111112,0.9894856493321966,0.9880817253121453,3482-37-47-2482,2.0179355,0.6517857142857143,1.0,0.777142857142857,136-0-78-10,50
24,2022-10-27 13:01:41.494,0.17476836,0.9871031746031746,0.9903381642512077,0.9889330306469921,3485-34-44-2485,1.9405985,0.9241071428571429,1.0,0.9411764705882353,136-0-17-71,49
25,2022-10-27 13:03:14.772,0.16987997,0.9892526455026455,0.9920431940892299,0.9907762168298567,3491-28-37-2492,1.9017301,0.7232142857142857,0.5441176470588235,0.7047619047619048,74-62-0-88,39
26,2022-10-27 13:04:48.096,0.1648848,0.9932208994708994,0.9951690821256038,0.994180269694819,3502-17-24-2505,1.923487,0.6651785714285714,1.0,0.7838616714697406,136-0-75-13,50
27,2022-10-27 13:06:21.370,0.16020493,0.9940476190476191,0.9963057686842853,0.9948921679909194,3506-13-23-2506,1.9312088,0.6428571428571429,1.0,0.7727272727272727,136-0-80-8,50
28,2022-10-27 13:07:54.643,0.1557516,0.9942129629629629,0.9951690821256038,0.9950277027986929,3502-17-18-2511,1.9297285,0.5223214285714286,0.3161764705882353,0.4455958549222798,43-93-14-74,13
29,2022-10-27 13:09:28.663,0.15155153,0.9943783068783069,0.9965899403239556,0.9951759364358683,3507-12-22-2507,2.0350878,0.6116071428571429,1.0,0.7576601671309192,136-0-87-1,50
30,2022-10-27 13:11:01.800,0.14739387,0.9975198412698413,0.9977266268826371,0.9978684098337359,3511-8-7-2522,1.9711093,0.9553571428571429,0.9926470588235294,0.9642857142857143,135-1-9-79,50
31,2022-10-27 13:12:35.033,0.14343925,0.9973544973544973,0.9980107985223075,0.9977272727272727,3512-7-9-2520,1.9195355,0.8973214285714286,1.0,0.9220338983050848,136-0-23-65,50
32,2022-10-27 13:14:08.262,0.13956547,0.9993386243386243,0.9994316567206593,0.9994316567206593,3517-2-2-2527,1.859579,1.0,1.0,1.0,136-0-0-88,49
33,2022-10-27 13:15:41.350,0.13595214,0.9988425925925926,0.9991474850809889,0.9990055405597386,3516-3-4-2525,1.8032466,1.0,1.0,1.0,136-0-0-88,49
34,2022-10-27 13:17:14.604,0.13246669,0.999834656084656,0.9997158283603297,0.9998578939889157,3518-1-0-2529,1.750255,1.0,1.0,1.0,136-0-0-88,48
35,2022-10-27 13:18:47.757,0.12913759,0.9996693121693122,1.0,0.9997159090909091,3519-0-2-2527,1.700261,1.0,1.0,1.0,136-0-0-88,49
36,2022-10-27 13:20:20.855,0.12596272,1.0,1.0,1.0,3519-0-0-2529,1.6530417,1.0,1.0,1.0,136-0-0-88,49
37,2022-10-27 13:21:54.031,0.122941084,1.0,1.0,1.0,3519-0-0-2529,1.6083851,1.0,1.0,1.0,136-0-0-88,49
38,2022-10-27 13:23:27.106,0.12006278,1.0,1.0,1.0,3519-0-0-2529,1.5660788,1.0,1.0,1.0,136-0-0-88,49
39,2022-10-27 13:25:00.250,0.117321245,1.0,1.0,1.0,3519-0-0-2529,1.5259379,1.0,1.0,1.0,136-0-0-88,49
40,2022-10-27 13:26:33.180,0.114708155,1.0,1.0,1.0,3519-0-0-2529,1.4878076,1.0,1.0,1.0,136-0-0-88,49
41,2022-10-27 13:28:06.232,0.1122191,1.0,1.0,1.0,3519-0-0-2529,1.4515367,1.0,1.0,1.0,136-0-0-88,49
42,2022-10-27 13:29:39.327,0.11198813,0.9699074074074074,0.9764137539073601,0.9741990360079388,3436-83-99-2430,1.4444718,0.6919642857142857,1.0,0.7976539589442815,136-0-69-19,50
43,2022-10-27 13:31:12.411,0.11032454,0.9923941798941799,0.9946007388462631,0.9934714731762702,3500-19-27-2502,1.5082102,0.6160714285714286,1.0,0.7597765363128491,136-0-86-2,50
44,2022-10-27 13:32:45.483,0.10862108,0.9938822751322751,0.9965899403239556,0.9947525173734221,3507-12-25-2504,1.5099396,0.6651785714285714,1.0,0.7838616714697406,136-0-75-13,50
45,2022-10-27 13:34:18.550,0.106918685,0.9952050264550265,0.9957374254049446,0.9958789256785563,3504-15-14-2515,1.4830201,0.8973214285714286,0.8308823529411765,0.9076305220883534,113-23-0-88,40
46,2022-10-27 13:35:51.668,0.10522359,0.996031746031746,0.9968741119636261,0.9965909090909091,3508-11-13-2516,1.6337618,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
47,2022-10-27 13:37:24.737,0.10399759,0.9884259259259259,0.9909065075305484,0.9900624645088018,3487-32-38-2491,1.7247272,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
48,2022-10-27 13:38:57.706,0.10253959,0.9933862433862434,0.9954532537652743,0.9943230201532784,3503-16-24-2505,1.8386164,0.6071428571428571,1.0,0.7555555555555554,136-0-88-0,50
49,2022-10-27 13:40:30.834,0.100993365,0.9953703703703703,0.9968741119636261,0.9960249858035208,3508-11-17-2512,1.8011609,1.0,1.0,1.0,136-0-0-88,50
50,2022-10-27 13:42:04.068,0.09942106,0.998015873015873,0.9985791418016482,0.9982954545454545,3514-5-7-2522,1.7742769,0.8526785714285714,1.0,0.8918032786885245,136-0-33-55,50
51,2022-10-27 13:43:37.309,0.097825974,0.9993386243386243,0.9997158283603297,0.9994318181818183,3518-1-3-2526,1.7580737,0.8571428571428571,1.0,0.8947368421052632,136-0-32-56,50
52,2022-10-27 13:45:10.413,0.09668449,0.9920634920634921,0.9934640522875817,0.9931818181818183,3496-23-25-2504,1.7242925,1.0,1.0,1.0,136-0-0-88,49
53,2022-10-27 13:46:43.512,0.09526832,0.9978505291005291,0.9982949701619779,0.9981531467538003,3513-6-7-2522,1.6917745,1.0,1.0,1.0,136-0-0-88,50
54,2022-10-27 13:48:16.602,0.093800604,0.9996693121693122,0.9994316567206593,0.9997157475838545,3517-2-0-2529,1.6605016,1.0,1.0,1.0,136-0-0-88,48
55,2022-10-27 13:49:49.820,0.09235369,0.9996693121693122,0.9994316567206593,0.9997157475838545,3517-2-0-2529,1.6303176,1.0,1.0,1.0,136-0-0-88,50
56,2022-10-27 13:51:22.810,0.09120738,0.9958664021164021,0.9965899403239556,0.9964483591419235,3507-12-13-2516,1.6387851,0.6026785714285714,0.49264705882352944,0.6008968609865472,67-69-20-68,29
57,2022-10-27 13:52:55.962,0.0899982,0.9975198412698413,0.9977266268826371,0.9978684098337359,3511-8-7-2522,1.6100463,1.0,1.0,1.0,136-0-0-88,50
58,2022-10-27 13:54:29.064,0.08870839,0.9996693121693122,0.9994316567206593,0.9997157475838545,3517-2-0-2529,1.5822915,1.0,1.0,1.0,136-0-0-88,50
59,2022-10-27 13:56:02.187,0.08743887,1.0,1.0,1.0,3519-0-0-2529,1.5554833,1.0,1.0,1.0,136-0-0-88,50
60,2022-10-27 13:57:35.294,0.08635859,0.9957010582010583,0.9963057686842853,0.9963057686842853,3506-13-13-2516,1.5295744,1.0,1.0,1.0,136-0-0-88,49
61,2022-10-27 13:59:08.276,0.08525646,0.998181216931217,0.9982949701619779,0.998436833878073,3513-6-5-2524,1.5049616,0.9866071428571429,0.9779411764705882,0.9888475836431226,133-3-0-88,46
