epoch,timestamp,train_loss,train_accuracy,train_recall,train_f1,"train_matrix(tp, fn, fp, tn)",val_loss,val_accuracy,val_recall,val_f1,"val_matrix(tp, fn, fp, tn)",val2
1,2022-10-24 16:49:22.654,0.18555301,0.9270833333333334,0.9418899858956277,0.9380530973451328,3339-206-235-2268,2.6310236,0.48214285714285715,0.12121212121212122,0.21621621621621626,16-116-0-92,0
2,2022-10-24 16:50:29.437,0.12106693,0.9781746031746031,0.9898448519040902,0.9815384615384614,3509-36-96-2407,1.3228785,0.9955357142857143,0.9924242424242424,0.9961977186311787,131-1-0-92,43
3,2022-10-24 16:51:36.283,0.096870236,0.9790013227513228,0.9904090267983074,0.9822352776612113,3511-34-93-2410,2.1775298,0.4107142857142857,0.0,0.0,0-132-0-92,0
4,2022-10-24 16:52:43.270,0.09221408,0.9684193121693122,0.980818053596615,0.9732680195941219,3477-68-123-2380,2.3642175,0.4419642857142857,0.05303030303030303,0.10071942446043167,7-125-0-92,0
5,2022-10-24 16:53:50.120,0.08272178,0.9801587301587301,0.9898448519040902,0.9831885682263939,3509-36-84-2419,1.9018226,0.9776785714285714,0.9621212121212122,0.9806949806949807,127-5-0-92,27
6,2022-10-24 16:54:57.005,0.07417786,0.984457671957672,0.995768688293371,0.986860497623707,3530-15-79-2424,1.5865535,0.9955357142857143,0.9924242424242424,0.9961977186311787,131-1-0-92,43
7,2022-10-24 16:56:04.096,0.067349926,0.9834656084656085,0.9918194640338505,0.9859786876051599,3516-29-71-2432,1.3599058,1.0,1.0,1.0,132-0-0-92,46
8,2022-10-24 16:57:11.019,0.06207831,0.9846230158730159,0.9935119887165021,0.9869693148381674,3522-23-70-2433,1.1939733,1.0,1.0,1.0,132-0-0-92,40
9,2022-10-24 16:58:17.874,0.06395198,0.9699074074074074,0.9791255289139633,0.9744525547445256,3471-74-108-2395,1.1483556,0.6607142857142857,0.4318181818181818,0.6000000000000001,57-75-1-91,3
10,2022-10-24 16:59:24.918,0.0627196,0.9791666666666666,0.9878702397743301,0.982328190743338,3502-43-83-2420,1.1373334,0.7098214285714286,0.5075757575757576,0.6733668341708543,67-65-0-92,0
